,W1,W2,score,,P1,P2,100-3,100-5,100-7,200-3,200-5,200-7,300-3,300-5,300-7,400-3,400-5,400-7,500-3,500-5,500-7,128-3,128-5,128-7,256-3,256-5,256-7,512-3,512-5,512-7
84,tiger,feline,8,,چیتا,بلی,0.47969714,0.29629967,0.36655742,0.3506549,0.29462704,0.29555297,0.3002768,0.31948352,0.31433672,0.29870096,0.28734133,0.29028496,0.27228287,0.25032613,0.24827866,0.31702447,0.34478775,0.35402864,0.28596407,0.25852352,0.3287679,0.2571553,0.26893365,0.22946253
85,tiger,carnivore,7.08,,چیتا,گوشت,0.28781083,0.30597135,0.337319,0.18541831,0.27245113,0.23771693,0.19093174,0.17118667,0.22083485,0.15562251,0.1718633,0.13706876,0.13468358,0.1530724,0.12557517,0.2746635,0.28899482,0.31979185,0.16714057,0.18856868,0.20352781,0.08564926,0.121053636,0.15925792
86,tiger,mammal,6.85,,چیتا,جانور,0.42568833,0.38589844,0.47397876,0.32801655,0.41653073,0.42611012,0.3507823,0.30508584,0.3554483,0.28386217,0.31250185,0.3221871,0.30564204,0.25585437,0.31866825,0.38021964,0.3995975,0.47233874,0.33377513,0.35785723,0.38264537,0.2549512,0.28520054,0.28737855
87,tiger,animal,7,,چیتا,جانور,0.42568833,0.38589844,0.47397876,0.32801655,0.41653073,0.42611012,0.3507823,0.30508584,0.3554483,0.28386217,0.31250185,0.3221871,0.30564204,0.25585437,0.31866825,0.38021964,0.3995975,0.47233874,0.33377513,0.35785723,0.38264537,0.2549512,0.28520054,0.28737855
88,tiger,organism,4.77,,چیتا,حیاتیات,0.18162052,0.19642173,0.23083928,0.15642732,0.1843063,0.17035817,0.17757854,0.15768532,0.18532026,0.17430595,0.15263969,0.17800876,0.12095848,0.12843469,0.14883761,0.122443914,0.1630031,0.23043728,0.1616474,0.198362,0.22894813,0.1194981,0.17192304,0.13479663
89,tiger,fauna,5.62,,چیتا,جانور,0.42568833,0.38589844,0.47397876,0.32801655,0.41653073,0.42611012,0.3507823,0.30508584,0.3554483,0.28386217,0.31250185,0.3221871,0.30564204,0.25585437,0.31866825,0.38021964,0.3995975,0.47233874,0.33377513,0.35785723,0.38264537,0.2549512,0.28520054,0.28737855
90,tiger,zoo,5.87,,چیتا,چڑیاگھر,0.46753028,0.44286805,0.34320757,0.3403917,0.34717247,0.3452052,0.35460284,0.31708512,0.3611685,0.3185533,0.33989933,0.35036185,0.3375421,0.31619573,0.2911869,0.42125,0.34989098,0.38812605,0.36066702,0.36252093,0.37482953,0.25282693,0.32259429,0.32941008
91,psychology,psychiatry,8.08,,نفسیات,نفسیات,1,1,1,1,1,1,1,1,1,0.99999994,1,1,1,1,1,1,1,1,1,0.99999994,1,1,0.99999994,1
92,psychology,anxiety,7,,نفسیات,فکر,0.24218082,0.25685948,0.27993757,0.25273114,0.24500386,0.24180871,0.25116372,0.22203168,0.20450848,0.18193407,0.18875152,0.14817013,0.18295054,0.12851803,0.1355424,0.25505167,0.21430188,0.19968048,0.2657305,0.24608877,0.24927297,0.1727323,0.15459377,0.12014536
93,psychology,depression,7.42,,نفسیات,ذہنی,0.43977615,0.41765946,0.39139915,0.37385324,0.32793716,0.3425367,0.32605523,0.31460807,0.3139346,0.27993277,0.27877373,0.292269,0.2910237,0.22030511,0.24983296,0.41775605,0.38886032,0.40573382,0.34788436,0.32337987,0.31032497,0.2467997,0.24152577,0.24470337
94,psychology,clinic,6.58,,نفسیات,کلینک,0.2387514,0.2701652,0.19813298,0.17898704,0.19205594,0.15498632,0.11862141,0.11443468,0.14957137,0.09715126,0.12988721,0.119662516,0.10494658,0.10647114,0.1009176,0.20106848,0.25270852,0.18032154,0.15241139,0.12235054,0.16619411,0.12622988,0.1417717,0.09927176
95,psychology,doctor,6.42,,نفسیات,ڈاکٹر,0.30270505,0.3439386,0.36385408,0.26440457,0.27271372,0.28599554,0.24178198,0.23587696,0.25096565,0.23414561,0.21117847,0.22993043,0.18847412,0.17989306,0.16024172,0.28828263,0.32304335,0.32447073,0.28248554,0.2576176,0.26021412,0.19631943,0.17779091,0.19763413
96,psychology,mind,7.69,,نفسیات,دماغ,0.42843688,0.3810495,0.3574254,0.3083478,0.27542654,0.24602245,0.25002474,0.23875968,0.23047239,0.22482924,0.21557504,0.21052478,0.19908658,0.18727405,0.1832228,0.34996006,0.32306844,0.30723608,0.27382937,0.24899834,0.23221102,0.20495427,0.1921777,0.18755263
97,psychology,health,7.23,,نفسیات,صحت,0.454718,0.40888393,0.38041627,0.38537025,0.34564826,0.34884042,0.36077902,0.30409023,0.28446314,0.31679854,0.28034034,0.25324512,0.2759399,0.2681171,0.2676844,0.40749466,0.35150883,0.35485256,0.36157694,0.3369013,0.31284365,0.2977267,0.26715857,0.27968723
98,psychology,science,6.71,,نفسیات,سائنس,0.45980442,0.47088304,0.462876,0.2905665,0.31380174,0.32319668,0.25903487,0.21270059,0.21704091,0.16487946,0.17085482,0.19316967,0.15509883,0.17172618,0.154178,0.42886722,0.38247815,0.38900632,0.25908276,0.2618793,0.27389383,0.15769377,0.16463175,0.14207168
99,psychology,discipline,5.58,,نفسیات,ضبط,0.16511585,0.0867888,0.028918665,0.067716785,0.07035817,0.016640557,0.05667683,0.006046176,-0.078050554,0.012053849,-0.024542386,-0.049269784,0.023623638,0.034965992,-0.013827185,0.101908,0.06769916,0.054426357,0.07671193,0.011467119,-0.005708989,-0.006275177,-0.010259545,-0.00366844
100,psychology,cognition,7.48,,نفسیات,شعور,0.3234063,0.3162535,0.2727313,0.22282128,0.22811858,0.16263172,0.18759798,0.16373749,0.13891362,0.16624333,0.113030985,0.1169883,0.16598864,0.12262537,0.110909,0.25729084,0.20260036,0.19336452,0.20075935,0.17684987,0.16434887,0.15248665,0.12922037,0.08351553
101,planet,star,8.45,,سیارہ,ستارا,0.5139834,0.51226455,0.4818878,0.43271562,0.4274563,0.41020364,0.3990879,0.35047126,0.30345038,0.33906487,0.30252427,0.27956888,0.3469781,0.27378643,0.25363353,0.5199276,0.5120783,0.48703778,0.40733504,0.39824718,0.36801583,0.32752737,0.27161306,0.21005404
102,planet,moon,8.08,,سیارہ,چاند,0.5358599,0.5270116,0.5754941,0.42642844,0.48926046,0.48116896,0.3988928,0.43722644,0.4286609,0.4061537,0.37820333,0.3989592,0.36090773,0.3349927,0.36044648,0.5101167,0.5212638,0.54877067,0.43338662,0.43703088,0.4599157,0.34842575,0.33432013,0.32787114
103,planet,sun,8.02,,سیارہ,سورج,0.57084036,0.6143512,0.6564585,0.48814827,0.52067566,0.55924803,0.45855808,0.45614198,0.49419084,0.38833284,0.43340877,0.4506301,0.3989878,0.41851306,0.42888072,0.5585782,0.5794022,0.64869267,0.4499195,0.51756924,0.52652,0.39925528,0.4094526,0.3931973
104,planet,galaxy,8.11,,سیارہ,کہکشاں,0.44424352,0.5145099,0.5147164,0.41201806,0.44339556,0.5187513,0.35393643,0.41062355,0.47148868,0.32495287,0.39744616,0.41331688,0.31466573,0.33374575,0.3863049,0.42935008,0.4369821,0.5122893,0.38455486,0.45928425,0.47929493,0.29099727,0.340602,0.35942364
105,planet,space,7.92,,سیارہ,خلا,0.43779698,0.49850821,0.49321318,0.36749086,0.36614838,0.41473028,0.33993688,0.33880267,0.3271441,0.27529708,0.3074516,0.32766163,0.2569893,0.28276548,0.3042592,0.40671042,0.4734178,0.4784379,0.32713404,0.35905775,0.31734937,0.27633914,0.27138895,0.28531247
106,planet,astronomer,7.94,,سیارہ,خلائی,0.49057016,0.49464482,0.5449739,0.42371207,0.45797628,0.4539612,0.37826967,0.40715376,0.40749785,0.35595506,0.35596052,0.38430297,0.32593343,0.34402037,0.37949565,0.47169214,0.49071717,0.50686675,0.41203332,0.4170732,0.423942,0.32379103,0.33418342,0.33721983
107,precedent,example,5.85,,وضاحت,مثال,0.35288554,0.29631054,0.21848734,0.2837404,0.2351873,0.20724377,0.27086076,0.23531698,0.20351607,0.26462325,0.21952565,0.19278955,0.2546527,0.21764663,0.18177378,0.30684692,0.25885877,0.2190597,0.2829813,0.21842322,0.20130846,0.24642752,0.20914538,0.1845237
108,precedent,information,3.85,,وضاحت,معلومات,0.4407632,0.43221664,0.42950502,0.3879203,0.36568922,0.37628534,0.35867852,0.3472677,0.35067198,0.3491284,0.3381087,0.3428083,0.31642738,0.3198459,0.31736776,0.41965804,0.41854766,0.4272068,0.37112403,0.36740798,0.36315814,0.31918114,0.3102667,0.3081713
109,precedent,cognition,2.81,,وضاحت,سنجیدگی,0.27771956,0.23447968,0.22150883,0.19293094,0.15738782,0.12612168,0.19816971,0.15785293,0.12230628,0.17510565,0.14879058,0.11665688,0.15278457,0.12864932,0.12774049,0.25121853,0.20698623,0.16914412,0.17528883,0.12717682,0.089492425,0.17508823,0.13581319,0.11507805
110,precedent,law,6.65,,وضاحت,قانون,0.1651012,0.12652421,0.16701403,0.11886631,0.128721,0.14018154,0.13744994,0.11981101,0.117488004,0.11797615,0.11614022,0.1195303,0.10623641,0.110111624,0.119545735,0.14715998,0.16752906,0.15550184,0.124115296,0.13190626,0.1297739,0.13645878,0.11422036,0.11545805
111,precedent,collection,2.5,,وضاحت,جمع,0.13996518,0.1454273,0.14715879,0.08186765,0.088082835,0.08956104,0.07844514,0.07426963,0.08981798,0.06998709,0.07069116,0.07634511,0.07592174,0.06291266,0.084984094,0.12904464,0.136512,0.1373295,0.07592954,0.08504641,0.08530563,0.08375954,0.07849884,0.086626306
112,precedent,group,1.77,,وضاحت,گروپ,-0.25034428,-0.23079045,-0.13968414,-0.16961558,-0.16419943,-0.1259071,-0.1304384,-0.11396969,-0.12871593,-0.12599531,-0.11702837,-0.13407634,-0.115550935,-0.11378943,-0.12596396,-0.25043303,-0.24387917,-0.19542095,-0.14956169,-0.15132166,-0.14476588,-0.11248946,-0.1241941,-0.12471715
113,precedent,antecedent,6.04,,وضاحت,سابق,0.058113255,0.08035357,0.1082783,0.02901678,0.060001485,0.06019767,0.05189247,0.056367353,0.05890088,0.047768857,0.05194623,0.049949504,0.03953949,0.04233111,0.06731202,0.02589041,0.003617622,0.057708252,0.047989853,0.0676869,0.057997312,0.046692368,0.060096033,0.05218818
114,cup,article,2.4,,کپ,چیز,-0.09151668,0.01031598,0.006014931,-0.082129665,-0.08117203,-0.06907597,-0.10864407,-0.03777992,-0.03799611,-0.090900406,-0.037253745,-0.026887134,-0.08682921,-0.05185001,-0.025746245,-0.08718224,-0.049731895,-0.04880488,-0.06996527,-0.06220001,-0.048068143,-0.067877814,-0.048394255,-0.0192728
115,cup,artifact,2.92,,کپ,مصنوعی,-0.10346235,-0.08921405,-0.054156464,-0.05975069,-0.017226482,0.07396805,-0.06213214,-0.007158847,0.000322633,-0.007182613,-0.029920092,-0.06282215,-0.05754745,-0.03519821,-0.015499248,-0.104675174,-0.08654873,-0.05789025,-0.039455596,-0.007585267,0.008156613,-0.03700046,-0.04020585,-0.042971317
116,cup,object,3.69,,کپ,چیز,-0.09151668,0.01031598,0.006014931,-0.082129665,-0.08117203,-0.06907597,-0.10864407,-0.03777992,-0.03799611,-0.090900406,-0.037253745,-0.026887134,-0.08682921,-0.05185001,-0.025746245,-0.08718224,-0.049731895,-0.04880488,-0.06996527,-0.06220001,-0.048068143,-0.067877814,-0.048394255,-0.0192728
117,cup,entity,2.15,,کپ,ہستی,-0.09376388,-0.044204116,-0.064168796,-0.06867314,-0.034569133,-0.001649031,-0.08267361,-0.082124084,-0.06632355,-0.08642119,-0.05039007,-0.04245552,-0.11226073,-0.062205028,-0.016800031,-0.06639674,-0.035016343,0.03575991,-0.114032805,-0.07334815,-0.028912304,-0.10097129,-0.06871745,-0.02884683
118,cup,substance,1.92,,کپ,چیز,-0.09151668,0.01031598,0.006014931,-0.082129665,-0.08117203,-0.06907597,-0.10864407,-0.03777992,-0.03799611,-0.090900406,-0.037253745,-0.026887134,-0.08682921,-0.05185001,-0.025746245,-0.08718224,-0.049731895,-0.04880488,-0.06996527,-0.06220001,-0.048068143,-0.067877814,-0.048394255,-0.0192728
119,jaguar,cat,7.42,,تیندوا,بلی,0.33904785,0.371524,0.41850072,0.3084824,0.300155,0.2821919,0.24423714,0.27917308,0.28736883,0.31986922,0.24673174,0.23280129,0.23606078,0.21508498,0.22407474,0.35978734,0.31933263,0.34374252,0.36715823,0.29443908,0.22927335,0.31040815,0.23376633,0.21339199
120,energy,secretary,1.81,,توانائی,سیکرٹری,0.10164164,0.02648526,-0.09589487,0.021261998,-0.038819574,-0.049004197,0.016844876,-0.04965319,-0.022952087,0.029445892,-0.022674546,-0.030292168,0.028775146,-0.010442554,-0.05262358,0.038261205,-0.050781474,-0.03087456,0.024170997,-0.02401887,-0.027620267,0.013965625,-0.018288018,-0.033499464
121,secretary,senate,5.06,,سیکرٹری,سینیٹ,0.21947278,0.26096746,0.26963776,0.17624225,0.2062944,0.248327,0.11987285,0.20021425,0.16069005,0.11807224,0.14482394,0.13966763,0.111317545,0.13401656,0.12352695,0.19433384,0.23778094,0.25544924,0.12801269,0.18916157,0.16084069,0.09568452,0.1454362,0.11754727
122,energy,laboratory,5.09,,توانائی,لیبارٹری,0.06918984,0.116563775,0.101538025,0.1092002,0.06715989,0.078269385,0.090010196,0.047256783,0.004149379,0.026591834,-0.002600061,0.006073803,0.019839415,-0.016122509,-0.02441952,0.13202332,0.07000627,0.046327412,0.12017788,0.067240536,0.060069785,0.04237825,0.004542228,-0.04999978
123,computer,laboratory,6.78,,کمپیوٹر,لیبارٹری,0.36658037,0.40513426,0.40197682,0.2778446,0.25438794,0.22938564,0.24616607,0.22784054,0.20962258,0.19065106,0.18556309,0.18800129,0.18304421,0.15404686,0.17941846,0.35623276,0.3680588,0.33021984,0.23775348,0.22599556,0.20792627,0.17426223,0.21127816,0.17369473
124,weapon,secret,6.06,,ہتھیار,راز,0.3414984,0.31566316,0.29698783,0.2545319,0.2650071,0.23197265,0.2531169,0.20978093,0.21446644,0.22409588,0.22260168,0.18920027,0.22429955,0.22222307,0.20278873,0.28299028,0.29232505,0.24792019,0.2545671,0.21490203,0.2306607,0.2310984,0.20005515,0.19433072
125,investigation,effort,4.59,,تحقیقات,کوشش,0.3420714,0.28891712,0.27345553,0.27337816,0.22092775,0.20441481,0.24293229,0.19125196,0.16643108,0.22947906,0.19069311,0.15482558,0.23541747,0.1798566,0.15022042,0.3150894,0.28312933,0.26100346,0.25758755,0.2035692,0.18068478,0.22190364,0.1818226,0.14962748
126,Mars,water,2.94,,مریخ,پانی,0.37045068,0.35074025,0.34768477,0.2899134,0.28258252,0.28756246,0.2662457,0.27929795,0.25015992,0.26534793,0.24483258,0.2346039,0.22527951,0.23495497,0.23050386,0.33386475,0.31585693,0.33288735,0.2779072,0.29054427,0.25250015,0.21576187,0.23005182,0.23046486
127,Mars,scientist,5.63,,مریخ,سائنسدان,0.29593712,0.37639868,0.41753873,0.26179332,0.34064817,0.35557374,0.27217183,0.32591212,0.32106233,0.25479072,0.29103658,0.30440724,0.2058964,0.27428296,0.2811875,0.265394,0.35601622,0.4062664,0.26137632,0.3193894,0.32883677,0.22923747,0.23813051,0.26868466
128,news,report,8.16,,خبریں,رپورٹ,0.35154164,0.3437193,0.33318767,0.3006219,0.3176847,0.3102201,0.29732075,0.27935416,0.26533985,0.27606514,0.2747175,0.25335097,0.2658562,0.25934848,0.24095611,0.35683736,0.33811763,0.32257187,0.30867642,0.2934718,0.2816857,0.25844753,0.2459237,0.24103713
129,canyon,landscape,7.53,,وادی,زمین,0.37217742,0.37614512,0.3456715,0.27671772,0.31305757,0.25177318,0.24995004,0.22399506,0.2357312,0.22689696,0.1888702,0.19564773,0.20518711,0.19499065,0.20864287,0.2988648,0.27879465,0.37151968,0.25566554,0.23583007,0.26588923,0.20480743,0.2179049,0.17755947
130,image,surface,4.56,,تصویر,سطح,0.04885565,0.0035089,0.013121121,-0.018750269,0.023051105,0.000874556,-0.003286529,-0.004446958,-0.007386393,0.005832253,0.004466771,0.009512795,0.011231072,0.016012542,0.017797483,0.024658218,0.017317563,-0.002520541,0.002440855,-0.002455436,0.017344657,0.00383332,0.024508007,0.013436284
131,discovery,space,6.34,,دریافت,جگہ,0.101870164,0.12688838,0.14643782,0.10364842,0.11358868,0.09841865,0.08398274,0.10840501,0.08554456,0.08287199,0.086129695,0.08174363,0.07971267,0.07377966,0.08934353,0.09510938,0.11888339,0.14298715,0.07928814,0.09197315,0.10160488,0.07729457,0.09709903,0.09666722
132,Wednesday,news,2.22,,بدھ,خبریں,0.06349026,0.049896225,0.01046524,0.008705933,0.003133205,0.033741884,-0.010112497,-0.000634955,-0.004833079,-0.024055026,0.000113611,-0.001015464,-0.02301401,0.002764761,-0.011744542,0.018530596,0.029942233,0.037887484,-0.000544101,-0.001278646,0.011893652,-0.016277254,-0.000419525,0.010842391
133,mile,kilometer,8.66,,میل,کلومیٹر,0.40384164,0.3877041,0.4664699,0.46450123,0.4012772,0.38264728,0.42591733,0.41575706,0.3901772,0.39567897,0.38236994,0.34703428,0.40569085,0.3685327,0.36179975,0.4309131,0.443348,0.42704663,0.4249737,0.4066777,0.38162148,0.39487296,0.3790624,0.36633232
134,computer,news,4.47,,کمپیوٹر,خبریں,0.10140324,0.033160716,0.027407352,0.051064055,0.020501684,0.012449879,0.017069131,0.013658179,0.003375911,0.03610204,0.014164156,0.029087598,0.047312275,0.003666791,0.007663156,0.08525002,0.07814317,-0.010017752,0.042430833,0.038229406,0.022560066,0.03570939,0.002804965,0.000189887
135,territory,surface,5.34,,علاقہ,سطح,0.031520117,0.025020808,0.016336666,0.040302143,0.032618184,0.048838284,0.030253015,0.023667585,0.039098147,0.019963777,0.007047226,0.021068018,0.019895026,0.009893714,0.009853522,0.035528302,0.07349046,0.04349834,0.049462896,0.04359892,0.0542303,0.02643482,0.02066344,0.015786823
136,atmosphere,landscape,3.69,,ماحول,زمین,0.22839202,0.20158772,0.21808818,0.18631306,0.17412333,0.15260255,0.16700986,0.14084356,0.12715037,0.15490547,0.1344633,0.13432112,0.15056928,0.15611468,0.12726596,0.17898643,0.21783258,0.20924139,0.15885128,0.15333593,0.122550815,0.15525432,0.15867473,0.14425975
137,president,medal,3,,صدر,تمغے,0.022124665,0.024389703,0.04285142,-0.012420546,0.033792406,-0.034282148,0.016486889,0.031691723,0.009294372,0.034285974,0.05437146,0.024397664,0.037033085,0.057414196,0.03702879,0.0219584,0.029942973,0.05269399,0.029516637,0.008331027,0.022908429,0.049604706,0.03536654,0.0415778
138,war,troops,8.13,,جنگ,فوجیوں,0.27063245,0.31766587,0.38009074,0.18769665,0.28458327,0.29823568,0.18234938,0.23668683,0.27487546,0.1712926,0.22773063,0.26726326,0.19948393,0.21416993,0.25509113,0.19133037,0.2588241,0.34447348,0.18328902,0.267375,0.30267078,0.17436936,0.21806802,0.24841306
139,record,number,6.31,,ریکارڈ,نمبر,0.21871366,0.21361639,0.20271593,0.20924844,0.18590191,0.17864823,0.17738006,0.18117544,0.17675726,0.17199188,0.17422765,0.16885532,0.17136565,0.16936104,0.1626403,0.24987379,0.22586888,0.22090234,0.1914936,0.17871508,0.17698479,0.16578597,0.16276121,0.16948938
140,Japanese,American,6.5,,جاپانی,امریکی,0.77637523,0.7695489,0.779253,0.67158824,0.6378331,0.6630765,0.6397943,0.5926332,0.5673754,0.5751424,0.5572594,0.5422408,0.5336851,0.51976895,0.52472776,0.74135256,0.7537589,0.72522247,0.6614831,0.59728265,0.6118058,0.5364139,0.51517344,0.50589293
141,theater,history,3.91,,تھیٹر,تاریخ,-0.12540361,-0.062495176,-0.07282709,-0.1035292,-0.10537899,-0.08042711,-0.0667292,-0.088450566,-0.05632884,-0.07847544,-0.05972183,-0.040635414,-0.06930892,-0.055281196,-0.04352832,-0.069610246,-0.09894182,-0.11784872,-0.0703083,-0.09893017,-0.07387162,-0.031653106,-0.061679833,-0.041806187
142,volunteer,motto,2.56,,رضاکارانہ,مثلا,-0.045528017,-0.079574496,-0.071599916,-0.06273672,-0.07099781,-0.062345173,-0.001878673,-0.057885673,-0.055534814,-0.04653823,-0.07527085,-0.02577811,-0.069242,-0.04806907,-0.036776382,-0.094207525,-0.054437783,-0.063853756,-0.037068237,-0.052706614,-0.08631127,-0.017613303,-0.065184996,-0.044600252
143,prejudice,recognition,3,,تعصب,شناخت,0.16308767,0.14613722,0.1131184,0.112484686,0.067846514,0.110570416,0.13937077,0.088660754,0.08789578,0.11747464,0.076944634,0.08783638,0.10590998,0.07125461,0.078813404,0.14344248,0.09666057,0.09674509,0.079277135,0.074686185,0.076863825,0.10276416,0.08313024,0.07903344
144,decoration,valor,5.63,,سجاوٹ,قدر,0.13821061,0.08549069,0.081818104,0.12396803,0.07447027,0.042932123,0.13277282,0.041812003,0.06906202,0.12764789,0.07378335,0.035660613,0.14274667,0.08361584,0.048962045,0.12889963,0.08887142,0.116063476,0.14499106,0.07226089,0.03640858,0.13872069,0.07563703,0.050992176
145,century,year,7.59,,صدی,سال,0.58510613,0.56365037,0.5465434,0.5330605,0.49456602,0.46916503,0.48132896,0.468266,0.452089,0.4361001,0.4391,0.42430398,0.4139104,0.4232578,0.4043701,0.5557599,0.53278524,0.52421266,0.5021026,0.4772027,0.4744544,0.41157827,0.40312067,0.41222182
146,century,nation,3.16,,صدی,ملک,0.17256975,0.15370132,0.16982614,0.09275769,0.10154477,0.1103053,0.092561014,0.12845266,0.117588475,0.1099674,0.12938716,0.08788322,0.08525738,0.11854499,0.10614898,0.08440375,0.09708307,0.13632306,0.10029229,0.14317544,0.11689117,0.10469191,0.11450459,0.09925539
147,delay,news,3.31,,تاخیر,خبریں,0.078936316,0.037957277,-0.004998342,0.09129536,0.033314116,0.027825793,0.08881875,0.06503554,0.043614846,0.1029734,0.043759298,0.031491064,0.07373747,0.05656047,0.032756887,0.082176864,0.027470995,0.02362625,0.10187657,0.0734043,0.05077449,0.080695264,0.06069688,0.03203729
148,minister,party,6.63,,وزیر,پارٹی,0.19179446,0.21004446,0.16011764,0.15906186,0.14170451,0.15031268,0.18534534,0.15402195,0.15685305,0.17123622,0.16287169,0.14605348,0.15170665,0.15907742,0.15253383,0.16140586,0.14024022,0.20143366,0.14555837,0.14127624,0.1605702,0.13420373,0.15853043,0.15772891
149,peace,plan,4.75,,امن,منصوبہ,0.12521718,0.13516615,0.12188488,0.11626055,0.10168191,0.08496422,0.104648896,0.06873923,0.06360764,0.06172438,0.086230084,0.060683247,0.09225339,0.07678234,0.07123277,0.1376012,0.13462129,0.09761065,0.0959605,0.07069853,0.06760783,0.09703168,0.073798895,0.052982625
150,minority,peace,3.69,,اقلیت,امن,0.3024705,0.34233385,0.35493112,0.23235373,0.23182763,0.27809983,0.21879038,0.23757273,0.25357768,0.18349615,0.23476233,0.20520131,0.18006343,0.22309086,0.19637673,0.2564324,0.27482563,0.28198424,0.2300515,0.27716523,0.22650024,0.19057271,0.19920233,0.20766363
151,attempt,peace,4.25,,کوشش,امن,0.010099423,0.029956726,0.06623301,0.05636947,0.03591154,0.05798712,0.022343654,0.044970673,0.03890209,0.05185158,0.034116898,0.042240355,0.04602996,0.05484578,0.046375044,0.06381544,0.06801074,0.05625789,0.04378744,0.047128387,0.04430312,0.05442901,0.063701674,0.06089528
152,government,crisis,6.56,,حکومت,بحران,0.30903795,0.30895618,0.32078648,0.2719899,0.27843404,0.26330364,0.24907061,0.25072625,0.253068,0.22007583,0.22916614,0.22947314,0.22428228,0.20698273,0.23153542,0.28283215,0.28152356,0.28970495,0.24489123,0.25354642,0.25615457,0.21203652,0.21841487,0.22949111
153,deployment,departure,4.25,,تعیناتی,روانگی,0.31630272,0.28420427,0.3273214,0.32002157,0.27402446,0.26050892,0.29567707,0.25134555,0.23235112,0.2730626,0.22391674,0.20754448,0.27975342,0.22244032,0.21379974,0.3520533,0.30050927,0.31209144,0.30537453,0.25907212,0.2416077,0.26122528,0.22345427,0.21803421
154,deployment,withdrawal,5.88,,تعیناتی,واپسی,0.34663156,0.30431354,0.30139902,0.33738318,0.30413526,0.3132529,0.30299994,0.3051415,0.3069506,0.28984645,0.27335396,0.26807436,0.2921463,0.28114977,0.29701775,0.3406721,0.3080892,0.33334816,0.31540263,0.32837874,0.29964355,0.2640051,0.2745499,0.28250173
155,energy,crisis,5.94,,توانائی,بحران,0.2313525,0.16319878,0.16462709,0.18965356,0.123979785,0.0898646,0.15247071,0.09952262,0.08131685,0.14230356,0.07773401,0.06402531,0.14129022,0.08017027,0.05991253,0.22109085,0.145129,0.14052443,0.16763043,0.10454804,0.088728026,0.133278,0.06234062,0.05706279
156,announcement,effort,2.75,,اعلان,کوشش,0.11166852,0.12514082,0.1250835,0.092029855,0.10180996,0.09280607,0.086510725,0.10426053,0.092961684,0.08888352,0.09770975,0.10085339,0.095315985,0.102687515,0.10059008,0.10966456,0.11539833,0.11442919,0.07970095,0.09425843,0.08854413,0.0836599,0.09901267,0.102970555
157,disability,death,5.47,,معذور,موت,0.19234459,0.20263265,0.15958267,0.14153188,0.110791594,0.1321933,0.17068982,0.1246892,0.12127829,0.14026865,0.12276296,0.14096475,0.1260897,0.11977588,0.12669191,0.15239005,0.13862681,0.12478346,0.16936676,0.15658146,0.1182907,0.13117576,0.1270647,0.104905374
158,treatment,recovery,7.91,,علاج,بازیابی,0.46525198,0.46919966,0.45124188,0.33356714,0.35176808,0.34699875,0.31257042,0.27892628,0.28614753,0.27958164,0.25671592,0.23821345,0.2648121,0.25520533,0.22711925,0.41332543,0.38810626,0.40386912,0.3206455,0.2953248,0.3089898,0.23891522,0.2328153,0.22561583
159,doctor,personnel,5,,ڈاکٹر,افراد,-0.067815356,-0.097024985,-0.07342263,-0.030990973,-0.049408916,-0.042101,-0.05958176,-0.053071443,-0.043423273,-0.079619884,-0.058471575,-0.06488209,-0.06274292,-0.057358697,-0.06247886,-0.08916781,-0.08775824,-0.030944537,-0.0454614,-0.04736591,-0.03736859,-0.050151296,-0.061515383,-0.055212986
160,liability,insurance,7.03,,قرض,انشورنس,0.23718202,0.22372088,0.1884972,0.21741505,0.19598825,0.18265112,0.20407687,0.20674281,0.17646196,0.19574356,0.17149778,0.16167058,0.18968478,0.17197472,0.16243349,0.22216068,0.19150934,0.16838731,0.19490191,0.16370964,0.15981752,0.20168287,0.200987,0.17059696
161,school,center,3.44,,اسکول,مرکز,0.11349499,0.090869896,0.062028382,0.15362503,0.08093343,0.107963406,0.11098615,0.09744067,0.09285504,0.10123102,0.07168842,0.05235976,0.0768511,0.09163811,0.06167601,0.07548751,0.11187303,0.12204305,0.098271,0.1093858,0.111270644,0.06399512,0.0721136,0.07375504
162,reason,criterion,5.91,,وجہ,معیار,0.066064425,0.10083649,0.09885219,0.08309645,0.09987565,0.113233104,0.07423496,0.093869634,0.09448277,0.07086976,0.083697155,0.08590152,0.07247369,0.08314133,0.07805433,0.09647254,0.10795236,0.11648112,0.09300299,0.10026975,0.10747094,0.059834853,0.08251416,0.08282835
163,hundred,percent,7.38,,سو,فیصد,0.45696554,0.4349262,0.38592234,0.39049163,0.32666665,0.30273274,0.35414013,0.29555032,0.25275195,0.32577372,0.27429882,0.22994903,0.3243915,0.25572023,0.21507803,0.4363613,0.40645978,0.38561702,0.37298274,0.2975543,0.26615876,0.32779962,0.2562532,0.21400326
164,hospital,infrastructure,4.63,,ہسپتال,انفراسٹرکچر,0.13366528,0.15547518,0.14254314,0.13060941,0.092893705,0.14873667,0.112918586,0.1359799,0.095934756,0.10804395,0.10401002,0.10861043,0.08926628,0.10226185,0.10554346,0.116535336,0.12464477,0.134111,0.13651896,0.119251795,0.121208556,0.097767696,0.11709286,0.11373514
